,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
1,2022-04-09,21:00,Série A,Matchweek 1,Sat,Home,L,2,3,Ceará,2.5,1.5,56.0,27100.0,Gustavo Gómez,4-3-3,Caio Max Augusto Vieira,Match Report,,16,3,17.1,0.0,1,1,2022,Palmeiras
3,2022-04-16,16:30,Série A,Matchweek 2,Sat,Away,D,1,1,Goiás,1.9,0.8,75.0,12864.0,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,Match Report,,22,6,15.8,0.0,0,0,2022,Palmeiras
4,2022-04-20,19:30,Série A,Matchweek 4,Wed,Away,D,0,0,Flamengo,0.8,1.4,45.0,69997.0,Gustavo Gómez,4-2-3-1,Wilton Sampaio,Match Report,,10,2,22.4,0.0,0,0,2022,Palmeiras
5,2022-04-23,19:00,Série A,Matchweek 3,Sat,Home,W,3,0,Corinthians,1.5,0.2,44.0,23973.0,Gustavo Gómez,4-2-3-1,Anderson Daronco,Match Report,,20,7,17.3,1.0,0,0,2022,Palmeiras
8,2022-05-08,16:00,Série A,Matchweek 5,Sun,Home,D,1,1,Fluminense,2.1,0.7,50.0,28776.0,Gustavo Gómez,4-2-3-1,Savio Pereira,Match Report,,19,5,20.2,3.0,0,0,2022,Palmeiras
9,2022-05-14,16:30,Série A,Matchweek 6,Sat,Home,W,2,0,Bragantino,1.8,0.4,49.0,36123.0,Gustavo Gómez,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,13,6,18.5,0.0,1,1,2022,Palmeiras
11,2022-05-21,19:00,Série A,Matchweek 7,Sat,Away,W,3,0,Juventude,1.7,0.9,54.0,5513.0,Marcos Rocha,4-3-3,Marcelo de Lima Henrique,Match Report,,20,8,19.4,2.0,0,0,2022,Palmeiras
13,2022-05-29,16:00,Série A,Matchweek 8,Sun,Away,W,1,0,Santos,1.8,1.7,55.0,14220.0,Gustavo Gómez,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,16,4,22.3,0.0,0,1,2022,Palmeiras
14,2022-06-05,16:00,Série A,Matchweek 9,Sun,Home,D,0,0,Atlético Mineiro,0.9,0.4,50.0,40235.0,Marcos Rocha,4-2-3-1,Wilton Sampaio,Match Report,,16,3,20.7,2.0,0,0,2022,Palmeiras
15,2022-06-09,19:00,Série A,Matchweek 10,Thu,Home,W,4,0,Botafogo (RJ),2.7,0.8,47.0,33431.0,Marcos Rocha,4-2-3-1,Anderson Daronco,Match Report,,14,6,8.9,0.0,0,0,2022,Palmeiras
16,2022-06-12,18:00,Série A,Matchweek 11,Sun,Away,W,2,0,Coritiba,0.9,0.6,53.0,27356.0,Marcos Rocha,4-2-3-1,Leandro Pedro Vuaden,Match Report,,16,6,22.3,0.0,0,0,2022,Palmeiras
17,2022-06-16,18:00,Série A,Matchweek 12,Thu,Home,W,4,2,Atl Goianiense,3.0,1.0,49.0,38888.0,Gustavo Gómez,4-2-3-1,Ramon Abatti Abel,Match Report,,29,12,16.9,2.0,0,0,2022,Palmeiras
18,2022-06-20,20:00,Série A,Matchweek 13,Mon,Away,W,2,1,São Paulo,1.6,1.2,60.0,31055.0,Gustavo Gómez,4-3-1-2,Anderson Daronco,Match Report,,23,6,19.7,2.0,0,0,2022,Palmeiras
19,2022-06-26,16:00,Série A,Matchweek 14,Sun,Away,D,2,2,Avaí,2.5,1.1,51.0,15233.0,Gustavo Gómez,4-2-3-1,Wagner do Nascimento Magalhães,Match Report,,14,3,15.9,1.0,1,1,2022,Palmeiras
21,2022-07-02,21:00,Série A,Matchweek 15,Sat,Home,L,0,2,Atl Paranaense,3.8,2.0,70.0,39192.0,Gustavo Gómez,3-4-3,Braulio da Silva Machado,Match Report,,35,7,19.6,1.0,0,0,2022,Palmeiras
23,2022-07-10,18:00,Série A,Matchweek 16,Sun,Away,D,0,0,Fortaleza,1.1,1.0,60.0,24888.0,Marcos Rocha,4-2-3-1,Wilton Sampaio,Match Report,,12,5,22.1,2.0,0,0,2022,Palmeiras
24,2022-07-18,20:00,Série A,Matchweek 17,Mon,Home,W,1,0,Cuiabá,1.5,0.2,61.0,39033.0,Gustavo Gómez,4-2-3-1,Anderson Daronco,Match Report,,16,8,16.0,0.0,0,0,2022,Palmeiras
25,2022-07-21,20:00,Série A,Matchweek 18,Thu,Away,W,1,0,América (MG),1.4,2.0,52.0,6462.0,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,Match Report,,17,5,18.6,1.0,0,0,2022,Palmeiras
26,2022-07-24,16:00,Série A,Matchweek 19,Sun,Home,W,2,1,Internacional,1.3,0.7,52.0,38658.0,Gustavo Gómez,4-2-3-1,Bruno Arleu de Araujo,Match Report,,18,9,18.3,1.0,0,0,2022,Palmeiras
27,2022-07-30,16:30,Série A,Matchweek 20,Sat,Away,W,2,1,Ceará,1.4,1.2,53.0,40912.0,Gustavo Gómez,4-2-3-1,Anderson Daronco,Match Report,,16,7,21.4,2.0,0,0,2022,Palmeiras
29,2022-08-07,16:00,Série A,Matchweek 21,Sun,Home,W,3,0,Goiás,2.5,0.6,56.0,38801.0,Gustavo Gómez,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,,18,7,18.3,0.0,1,1,2022,Palmeiras
31,2022-08-13,19:00,Série A,Matchweek 22,Sat,Away,W,1,0,Corinthians,0.4,0.4,43.0,44966.0,Gustavo Gómez,4-2-3-1,Raphael Claus,Match Report,,9,3,22.7,0.0,0,0,2022,Palmeiras
32,2022-08-21,16:00,Série A,Matchweek 23,Sun,Home,D,1,1,Flamengo,1.5,0.9,57.0,40485.0,Gustavo Gómez,4-2-3-1,Ramon Abatti Abel,Match Report,,20,3,18.1,0.0,0,0,2022,Palmeiras
33,2022-08-27,19:00,Série A,Matchweek 24,Sat,Away,D,1,1,Fluminense,0.6,1.3,39.0,45084.0,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,Match Report,,9,2,18.1,1.0,0,0,2022,Palmeiras
35,2022-09-03,19:00,Série A,Matchweek 25,Sat,Away,D,2,2,Bragantino,1.2,1.4,60.0,9685.0,Luan Garcia,4-2-3-1,Raphael Claus,Match Report,,11,3,16.1,1.0,0,0,2022,Palmeiras
37,2022-09-10,21:00,Série A,Matchweek 26,Sat,Home,W,2,1,Juventude,1.7,0.7,66.0,39337.0,Gustavo Gómez,4-2-3-1,Jefferson Ferreira de Moraes,Match Report,,24,9,16.5,0.0,0,0,2022,Palmeiras
38,2022-09-18,18:30,Série A,Matchweek 27,Sun,Home,W,1,0,Santos,1.0,0.6,54.0,40337.0,Gustavo Gómez,4-2-3-1,Wilton Sampaio,Match Report,,19,3,20.0,1.0,0,0,2022,Palmeiras
39,2022-09-28,21:45,Série A,Matchweek 28,Wed,Away,W,1,0,Atlético Mineiro,1.3,1.2,33.0,28644.0,Marcos Rocha,3-4-1-2,Marcelo de Lima Henrique,Match Report,,10,3,19.1,1.0,0,0,2022,Palmeiras
40,2022-10-03,20:00,Série A,Matchweek 29,Mon,Away,W,3,1,Botafogo (RJ),2.5,0.9,52.0,16545.0,Gustavo Gómez,4-2-3-1,Wilton Sampaio,Match Report,,11,4,16.8,0.0,1,1,2022,Palmeiras
41,2022-10-06,19:00,Série A,Matchweek 30,Thu,Home,W,4,0,Coritiba,2.4,0.4,56.0,39877.0,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,Match Report,,19,11,13.6,0.0,0,0,2022,Palmeiras
42,2022-10-10,18:30,Série A,Matchweek 31,Mon,Away,D,1,1,Atl Goianiense,1.1,0.6,56.0,12089.0,Gustavo Gómez,4-2-3-1,Bruno Arleu de Araujo,Match Report,,17,6,20.4,2.0,0,0,2022,Palmeiras
43,2022-10-16,16:00,Série A,Matchweek 32,Sun,Home,D,0,0,São Paulo,2.0,0.4,56.0,40795.0,Gustavo Gómez,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,18,7,20.4,3.0,0,1,2022,Palmeiras
44,2022-10-22,21:00,Série A,Matchweek 33,Sat,Home,W,3,0,Avaí,3.9,0.8,50.0,,Gustavo Gómez,4-2-3-1,Bruno Arleu de Araujo,Match Report,,21,8,17.4,1.0,1,1,2022,Palmeiras
45,2022-10-25,21:45,Série A,Matchweek 34,Tue,Away,W,3,1,Atl Paranaense,2.2,0.2,71.0,,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,Match Report,,17,5,17.2,2.0,0,0,2022,Palmeiras
46,2022-11-02,21:30,Série A,Matchweek 35,Wed,Home,W,4,0,Fortaleza,2.2,0.5,55.0,,Gustavo Gómez,4-2-3-1,Wilton Sampaio,Match Report,,18,9,17.4,1.0,0,0,2022,Palmeiras
47,2022-11-06,17:30,Série A,Matchweek 36,Sun,Away,D,1,1,Cuiabá,2.6,1.1,66.0,,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,Match Report,,27,12,18.1,1.0,0,0,2022,Palmeiras
48,2022-11-09,21:30,Série A,Matchweek 37,Wed,Home,W,2,1,América (MG),2.6,0.3,57.0,,Gustavo Gómez,4-2-3-1,Savio Pereira,Match Report,,25,8,18.8,2.0,1,1,2022,Palmeiras
49,2022-11-13,16:00,Série A,Matchweek 38,Sun,Away,L,0,3,Internacional,1.3,1.4,52.0,,Luan Garcia,4-2-3-1,Bruno Arleu de Araujo,Match Report,,11,2,14.6,1.0,0,0,2022,Palmeiras
1,2022-04-10,16:00,Série A,Matchweek 1,Sun,Away,L,0,2,Atlético Mineiro,0.6,1.9,48.0,37531.0,Taison,4-2-3-1,Bruno Arleu de Araujo,Match Report,,6,1,18.3,0.0,0,0,2022,Internacional
3,2022-04-17,18:00,Série A,Matchweek 2,Sun,Home,W,2,1,Fortaleza,1.7,0.8,52.0,31783.0,Andrés D'Alessandro,4-3-3,Flavio Rodrigues De Souza,Match Report,,18,5,17.0,2.0,0,0,2022,Internacional
4,2022-04-23,19:00,Série A,Matchweek 3,Sat,Away,W,1,0,Fluminense,0.8,0.5,43.0,16176.0,Edenílson,4-3-3,Braulio da Silva Machado,Match Report,,12,4,20.6,0.0,0,0,2022,Internacional
6,2022-05-01,19:00,Série A,Matchweek 4,Sun,Home,D,0,0,Avaí,1.3,0.7,60.0,20808.0,Edenílson,4-3-3,Wilton Sampaio,Match Report,,23,3,17.8,1.0,0,0,2022,Internacional
8,2022-05-08,19:00,Série A,Matchweek 5,Sun,Away,D,1,1,Juventude,0.7,0.8,43.0,7341.0,Edenílson,4-3-3,Bruno Arleu de Araujo,Match Report,,8,3,16.7,1.0,0,0,2022,Internacional
9,2022-05-14,19:00,Série A,Matchweek 6,Sat,Home,D,2,2,Corinthians,2.1,1.7,48.0,18482.0,Edenílson,4-4-1-1,Braulio da Silva Machado,Match Report,,13,5,14.4,2.0,0,0,2022,Internacional
11,2022-05-21,20:00,Série A,Matchweek 7,Sat,Away,D,1,1,Cuiabá,1.4,0.9,57.0,7968.0,Edenílson,4-4-1-1,Ramon Abatti Abel,Match Report,,13,3,15.8,0.0,1,1,2022,Internacional
13,2022-05-30,20:00,Série A,Matchweek 8,Mon,Home,D,1,1,Atl Goianiense,0.7,2.1,45.0,11050.0,Edenílson,4-4-1-1,Marcelo de Lima Henrique,Match Report,,10,5,19.7,0.0,0,0,2022,Internacional
14,2022-06-05,19:00,Série A,Matchweek 9,Sun,Away,W,2,0,Bragantino,1.5,0.6,51.0,3062.0,Edenílson,4-4-1-1,Wagner do Nascimento Magalhães,Match Report,,8,4,21.7,0.0,1,1,2022,Internacional
15,2022-06-08,21:30,Série A,Matchweek 10,Wed,Away,D,1,1,Santos,1.0,3.9,49.0,8845.0,Edenílson,4-2-3-1,Ramon Abatti Abel,Match Report,,11,6,16.1,1.0,0,0,2022,Internacional
16,2022-06-11,21:00,Série A,Matchweek 11,Sat,Home,W,3,1,Flamengo,1.9,1.2,32.0,22392.0,Gabriel,4-4-1-1,Braulio da Silva Machado,Match Report,,10,3,19.4,0.0,1,1,2022,Internacional
17,2022-06-15,20:30,Série A,Matchweek 12,Wed,Away,W,2,1,Goiás,1.5,0.5,47.0,8892.0,Edenílson,4-3-1-2,Caio Max Augusto Vieira,Match Report,,16,8,18.5,0.0,0,0,2022,Internacional
18,2022-06-19,18:00,Série A,Matchweek 13,Sun,Home,L,2,3,Botafogo (RJ),3.1,1.5,77.0,26219.0,Edenílson,4-1-2-1-2◆,Savio Pereira,Match Report,,17,6,15.4,0.0,1,1,2022,Internacional
19,2022-06-24,21:30,Série A,Matchweek 14,Fri,Home,W,3,0,Coritiba,2.5,1.0,55.0,13454.0,Taison,4-3-3,Jefferson Ferreira de Moraes,Match Report,,15,8,15.9,0.0,0,0,2022,Internacional
21,2022-07-02,19:00,Série A,Matchweek 15,Sat,Away,D,1,1,Ceará,1.5,1.1,38.0,23283.0,Taison,4-2-3-1,Rodolpho Toski Marques,Match Report,,12,5,13.7,0.0,0,0,2022,Internacional
23,2022-07-11,20:00,Série A,Matchweek 16,Mon,Home,W,1,0,América (MG),1.8,0.5,67.0,19023.0,Taison,4-3-1-2,Flavio Rodrigues De Souza,Match Report,,21,4,19.6,0.0,0,0,2022,Internacional
24,2022-07-16,16:30,Série A,Matchweek 17,Sat,Away,D,0,0,Atl Paranaense,1.6,2.4,40.0,21402.0,Edenílson,4-2-3-1,Ramon Abatti Abel,Match Report,,17,3,18.3,0.0,0,0,2022,Internacional
25,2022-07-20,20:30,Série A,Matchweek 18,Wed,Home,D,3,3,São Paulo,2.5,1.9,34.0,32804.0,Edenílson,4-2-3-1,Marcelo de Lima Henrique,Match Report,,14,6,19.1,0.0,1,1,2022,Internacional
26,2022-07-24,16:00,Série A,Matchweek 19,Sun,Away,L,1,2,Palmeiras,0.7,1.3,48.0,38658.0,Edenílson,4-1-2-1-2◆,Bruno Arleu de Araujo,Match Report,,11,5,26.2,1.0,0,0,2022,Internacional
27,2022-07-31,16:00,Série A,Matchweek 20,Sun,Home,W,3,0,Atlético Mineiro,0.8,1.9,32.0,39451.0,Edenílson,4-4-2,Flavio Rodrigues De Souza,Match Report,,9,3,18.8,0.0,0,0,2022,Internacional
29,2022-08-07,18:00,Série A,Matchweek 21,Sun,Away,L,0,3,Fortaleza,0.7,1.8,66.0,39523.0,Alan Patrick,4-2-3-1,Wagner do Nascimento Magalhães,Match Report,,8,2,20.3,0.0,0,0,2022,Internacional
31,2022-08-14,19:00,Série A,Matchweek 22,Sun,Home,W,3,0,Fluminense,1.6,0.3,33.0,14824.0,Gabriel,4-1-4-1,Ramon Abatti Abel,Match Report,,15,5,20.0,2.0,0,0,2022,Internacional
32,2022-08-22,20:00,Série A,Matchweek 23,Mon,Away,W,1,0,Avaí,1.7,0.7,50.0,13911.0,Gabriel,4-4-1-1,Edina Alves Batista,Match Report,,13,4,18.0,0.0,1,1,2022,Internacional
33,2022-08-29,20:00,Série A,Matchweek 24,Mon,Home,W,4,0,Juventude,3.2,0.2,54.0,16518.0,Gabriel,4-4-1-1,Bruno Arleu de Araujo,Match Report,,22,11,19.2,1.0,1,2,2022,Internacional
34,2022-09-04,16:00,Série A,Matchweek 25,Sun,Away,D,2,2,Corinthians,0.8,1.9,50.0,41423.0,Gabriel,4-1-2-1-2◆,Braulio da Silva Machado,Match Report,,14,4,21.0,0.0,0,0,2022,Internacional
35,2022-09-10,16:30,Série A,Matchweek 26,Sat,Home,W,1,0,Cuiabá,1.5,0.0,67.0,30719.0,Gabriel,4-3-3,Maguielson Lima Barbosa,Match Report,,16,3,15.9,1.0,0,0,2022,Internacional
36,2022-09-19,20:00,Série A,Matchweek 27,Mon,Away,W,2,1,Atl Goianiense,1.9,1.3,46.0,5185.0,Edenílson,4-3-3,Edina Alves Batista,Match Report,,13,4,15.3,0.0,0,0,2022,Internacional
37,2022-09-28,21:45,Série A,Matchweek 28,Wed,Home,D,0,0,Bragantino,1.6,1.0,58.0,17945.0,Edenílson,4-2-3-1,Wagner do Nascimento Magalhães,Match Report,,12,6,15.5,0.0,0,0,2022,Internacional
38,2022-10-01,15:00,Série A,Matchweek 29,Sat,Home,W,1,0,Santos,1.0,0.3,48.0,30858.0,Gabriel,4-3-3,Ramon Abatti Abel,Match Report,,9,3,17.7,1.0,0,0,2022,Internacional
39,2022-10-05,21:30,Série A,Matchweek 30,Wed,Away,D,0,0,Flamengo,0.8,1.4,33.0,43710.0,Edenílson,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,16,6,21.0,1.0,0,0,2022,Internacional
40,2022-10-09,11:00,Série A,Matchweek 31,Sun,Home,W,4,2,Goiás,2.5,2.0,61.0,31554.0,Rodrigo Moledo,4-2-3-1,Edina Alves Batista,Match Report,,20,11,15.8,0.0,0,0,2022,Internacional
41,2022-10-16,18:00,Série A,Matchweek 32,Sun,Away,W,1,0,Botafogo (RJ),0.8,0.5,50.0,24445.0,Alan Patrick,4-2-3-1,Braulio da Silva Machado,Match Report,,11,1,17.5,0.0,0,0,2022,Internacional
42,2022-10-23,18:00,Série A,Matchweek 33,Sun,Away,D,1,1,Coritiba,1.1,0.5,64.0,,Edenílson,4-1-2-1-2◆,Wagner do Nascimento Magalhães,Match Report,,11,3,22.2,1.0,0,0,2022,Internacional
43,2022-10-26,21:45,Série A,Matchweek 34,Wed,Home,W,2,1,Ceará,2.2,1.5,62.0,,Edenílson,4-2-3-1,Ramon Abatti Abel,Match Report,,20,5,20.7,2.0,1,1,2022,Internacional
44,2022-11-02,16:00,Série A,Matchweek 35,Wed,Away,L,0,1,América (MG),1.2,1.3,49.0,,Edenílson,4-4-1-1,Bruno Arleu de Araujo,Match Report,,12,2,18.5,0.0,0,1,2022,Internacional
45,2022-11-05,21:00,Série A,Matchweek 36,Sat,Home,W,2,0,Atl Paranaense,1.3,0.7,55.0,,Renê,4-4-1-1,Flavio Rodrigues De Souza,Match Report,,11,5,17.1,1.0,0,0,2022,Internacional
46,2022-11-08,21:30,Série A,Matchweek 37,Tue,Away,W,1,0,São Paulo,0.7,0.6,41.0,19692.0,Renê,4-2-3-1,Wagner do Nascimento Magalhães,Match Report,,8,3,14.9,0.0,0,0,2022,Internacional
47,2022-11-13,16:00,Série A,Matchweek 38,Sun,Home,W,3,0,Palmeiras,1.4,1.3,48.0,,Taison,4-2-3-1,Bruno Arleu de Araujo,Match Report,,15,8,18.9,1.0,0,0,2022,Internacional
5,2022-04-09,16:30,Série A,Matchweek 1,Sat,Home,D,0,0,Santos,1.6,0.1,65.0,22855.0,Yago,3-4-3,Anderson Daronco,Match Report,,26,6,18.7,0.0,0,0,2022,Fluminense
7,2022-04-16,20:00,Série A,Matchweek 2,Sat,Away,W,1,0,Cuiabá,0.7,0.2,61.0,10791.0,Fred,4-3-3,Savio Pereira,Match Report,,12,3,22.1,1.0,0,0,2022,Fluminense
8,2022-04-23,19:00,Série A,Matchweek 3,Sat,Home,L,0,1,Internacional,0.5,0.8,57.0,16176.0,Nino,3-4-1-2,Braulio da Silva Machado,Match Report,,12,2,22.6,1.0,0,0,2022,Fluminense
10,2022-05-01,16:00,Série A,Matchweek 4,Sun,Away,L,2,3,Coritiba,0.6,3.3,45.0,24622.0,Nino,4-1-2-1-2◆,Raphael Claus,Match Report,,7,4,19.9,0.0,0,0,2022,Fluminense
12,2022-05-08,16:00,Série A,Matchweek 5,Sun,Away,D,1,1,Palmeiras,0.7,2.1,50.0,28776.0,Nino,4-2-3-1,Savio Pereira,Match Report,,8,2,20.5,0.0,0,0,2022,Fluminense
13,2022-05-14,21:00,Série A,Matchweek 6,Sat,Home,W,2,1,Atl Paranaense,0.7,1.4,63.0,4722.0,Nino,4-1-2-1-2◆,Ramon Abatti Abel,Match Report,,11,6,22.4,1.0,0,0,2022,Fluminense
15,2022-05-22,16:00,Série A,Matchweek 7,Sun,Away,W,1,0,Fortaleza,1.1,1.7,37.0,37507.0,Nino,4-4-1-1,Anderson Daronco,Match Report,,7,3,16.9,0.0,0,0,2022,Fluminense
17,2022-05-29,18:00,Série A,Matchweek 8,Sun,Home,L,1,2,Flamengo,1.6,1.0,62.0,57919.0,Yago,4-4-1-1,Raphael Claus,Match Report,,17,6,18.8,0.0,0,0,2022,Fluminense
18,2022-06-05,11:00,Série A,Matchweek 9,Sun,Away,L,0,1,Juventude,0.3,1.1,52.0,2573.0,Ganso,4-2-3-1,Jefferson Ferreira de Moraes,Match Report,,6,2,19.8,1.0,0,0,2022,Fluminense
19,2022-06-08,21:30,Série A,Matchweek 10,Wed,Home,W,5,3,Atlético Mineiro,1.8,0.8,43.0,16143.0,Ganso,4-4-1-1,Leandro Pedro Vuaden,Match Report,,13,9,18.9,2.0,0,0,2022,Fluminense
20,2022-06-11,19:00,Série A,Matchweek 11,Sat,Home,L,0,2,Atl Goianiense,1.8,1.9,47.0,27859.0,Fábio,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,15,4,19.7,1.0,0,0,2022,Fluminense
21,2022-06-15,21:30,Série A,Matchweek 12,Wed,Away,D,0,0,América (MG),1.3,1.0,78.0,2599.0,Nino,4-2-3-1,Anderson Daronco,Match Report,,20,3,20.1,1.0,0,0,2022,Fluminense
22,2022-06-19,19:00,Série A,Matchweek 13,Sun,Home,W,2,0,Avaí,1.7,0.5,50.0,15530.0,Nino,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,,19,3,17.2,1.0,0,0,2022,Fluminense
23,2022-06-26,16:00,Série A,Matchweek 14,Sun,Away,W,1,0,Botafogo (RJ),0.8,0.7,79.0,29791.0,Nino,4-2-3-1,Anderson Daronco,Match Report,,11,3,17.6,0.0,0,0,2022,Fluminense
24,2022-07-02,16:30,Série A,Matchweek 15,Sat,Home,W,4,0,Corinthians,2.3,0.3,58.0,44782.0,Nino,4-2-3-1,Wilton Sampaio,Match Report,,15,6,16.5,1.0,0,0,2022,Fluminense
25,2022-07-09,19:00,Série A,Matchweek 16,Sat,Home,W,2,1,Ceará,1.5,1.8,59.0,63707.0,Nino,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,18,6,17.1,0.0,0,0,2022,Fluminense
26,2022-07-17,16:00,Série A,Matchweek 17,Sun,Away,D,2,2,São Paulo,1.2,0.8,62.0,47141.0,Fábio,4-2-3-1,Wilton Sampaio,Match Report,,15,3,22.5,2.0,0,0,2022,Fluminense
27,2022-07-20,19:00,Série A,Matchweek 18,Wed,Away,W,3,2,Goiás,1.1,1.0,72.0,11974.0,Nino,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,,17,10,17.2,0.0,0,0,2022,Fluminense
28,2022-07-24,16:00,Série A,Matchweek 19,Sun,Home,W,2,1,Bragantino,2.2,0.4,61.0,9877.0,Nino,4-2-2-2,André Luiz de Freitas Castro,Match Report,,24,7,18.6,1.0,0,0,2022,Fluminense
29,2022-08-01,20:00,Série A,Matchweek 20,Mon,Away,D,2,2,Santos,1.2,1.0,67.0,11943.0,Nino,4-2-3-1,Braulio da Silva Machado,Match Report,,11,6,22.2,1.0,1,1,2022,Fluminense
30,2022-08-07,16:00,Série A,Matchweek 21,Sun,Home,W,1,0,Cuiabá,0.7,0.4,65.0,46323.0,Nino,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,11,5,19.8,1.0,0,0,2022,Fluminense
31,2022-08-14,19:00,Série A,Matchweek 22,Sun,Away,L,0,3,Internacional,0.3,1.6,67.0,14824.0,Nino,4-2-3-1,Ramon Abatti Abel,Match Report,,8,0,21.0,0.0,0,0,2022,Fluminense
32,2022-08-20,19:00,Série A,Matchweek 23,Sat,Home,W,5,2,Coritiba,1.6,0.5,63.0,24029.0,Nino,4-2-3-1,Paulo Cesar Zanovelli da Silva,Match Report,,15,6,14.8,1.0,0,0,2022,Fluminense
33,2022-08-27,19:00,Série A,Matchweek 24,Sat,Home,D,1,1,Palmeiras,1.3,0.6,61.0,45084.0,Nino,4-2-3-1,Braulio da Silva Machado,Match Report,,17,3,18.0,0.0,0,0,2022,Fluminense
34,2022-09-03,19:00,Série A,Matchweek 25,Sat,Away,L,0,1,Atl Paranaense,0.8,0.6,73.0,14037.0,Fábio,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,12,3,16.3,1.0,0,0,2022,Fluminense
35,2022-09-10,19:00,Série A,Matchweek 26,Sat,Home,W,2,1,Fortaleza,1.3,1.0,66.0,26533.0,Nino,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,,15,6,18.3,0.0,0,0,2022,Fluminense
36,2022-09-18,16:00,Série A,Matchweek 27,Sun,Away,W,2,1,Flamengo,2.0,2.6,50.0,55170.0,Nino,4-2-3-1,Raphael Claus,Match Report,,11,3,20.0,1.0,1,1,2022,Fluminense
37,2022-09-28,19:00,Série A,Matchweek 28,Wed,Home,W,4,0,Juventude,1.3,0.3,62.0,23396.0,Nino,4-2-3-1,Edina Alves Batista,Match Report,,21,6,20.1,0.0,0,0,2022,Fluminense
38,2022-10-01,15:00,Série A,Matchweek 29,Sat,Away,L,0,2,Atlético Mineiro,0.3,1.7,70.0,20858.0,Felipe Melo,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,5,2,22.3,1.0,0,0,2022,Fluminense
39,2022-10-05,19:00,Série A,Matchweek 30,Wed,Away,L,2,3,Atl Goianiense,2.2,2.4,59.0,6075.0,Nino,4-2-3-1,Anderson Daronco,Match Report,,12,4,17.3,0.0,1,1,2022,Fluminense
40,2022-10-09,18:00,Série A,Matchweek 31,Sun,Home,L,0,2,América (MG),1.0,1.7,62.0,23324.0,Nino,4-2-3-1,Leandro Pedro Vuaden,Match Report,,22,10,21.5,0.0,0,0,2022,Fluminense
41,2022-10-16,19:00,Série A,Matchweek 32,Sun,Away,W,3,0,Avaí,2.5,0.9,58.0,79.0,Ganso,4-2-2-2,Anderson Daronco,Match Report,,17,7,18.0,0.0,0,0,2022,Fluminense
42,2022-10-23,16:00,Série A,Matchweek 33,Sun,Home,D,2,2,Botafogo (RJ),2.2,0.7,65.0,,Nino,4-2-2-2,Ramon Abatti Abel,Match Report,,17,6,18.3,1.0,1,1,2022,Fluminense
43,2022-10-26,21:45,Série A,Matchweek 34,Wed,Away,W,2,0,Corinthians,1.4,0.7,52.0,37920.0,Nino,4-2-2-2,Leandro Pedro Vuaden,Match Report,,15,6,19.4,0.0,0,0,2022,Fluminense
44,2022-10-31,20:00,Série A,Matchweek 35,Mon,Away,W,1,0,Ceará,2.0,0.5,70.0,,Nino,4-2-2-2,Raphael Claus,Match Report,,17,5,16.0,0.0,0,0,2022,Fluminense
45,2022-11-05,16:30,Série A,Matchweek 36,Sat,Home,W,3,1,São Paulo,1.7,0.5,65.0,,Nino,4-2-2-2,Anderson Daronco,Match Report,,18,8,19.7,0.0,0,0,2022,Fluminense
46,2022-11-09,19:00,Série A,Matchweek 37,Wed,Home,W,3,0,Goiás,2.0,0.5,76.0,,Nino,4-2-2-2,Paulo Cesar Zanovelli da Silva,Match Report,,23,9,16.9,1.0,0,0,2022,Fluminense
47,2022-11-13,16:00,Série A,Matchweek 38,Sun,Away,W,1,0,Bragantino,0.6,0.9,58.0,,Nino,4-2-3-1,Bruno Arleu de Araujo,Match Report,,8,4,24.0,1.0,0,0,2022,Fluminense
1,2022-04-10,16:00,Série A,Matchweek 1,Sun,Away,W,3,1,Botafogo (RJ),2.1,1.5,44.0,36898.0,Cássio,4-3-3,Wilton Sampaio,Match Report,,15,8,15.6,0.0,0,0,2022,Corinthians
3,2022-04-16,19:00,Série A,Matchweek 2,Sat,Home,W,3,0,Avaí,1.5,1.4,54.0,30497.0,Cássio,4-2-3-1,Bruno Arleu de Araujo,Match Report,,14,4,16.5,0.0,0,0,2022,Corinthians
4,2022-04-23,19:00,Série A,Matchweek 3,Sat,Away,L,0,3,Palmeiras,0.2,1.5,56.0,23973.0,Paulinho,4-3-3,Anderson Daronco,Match Report,,7,1,28.3,2.0,0,0,2022,Corinthians
